# MESSENGER FIPS field-of-view pixel to spherical coordinate mapping                  
# Created:                                                                            
#       X       Y         V_POLAR       V_AZIMUTH PIXEL_SOLID_ANG       PIXEL_EFF QUAL
#     [1]     [1]         Degrees         Degrees       Steradian             [1]  [1]
       20      32       4.947e+01       1.752e+02       4.545e-03       2.356e+00    0
       20      33       4.890e+01       1.801e+02       3.231e-03       3.111e+00    0
       20      34       4.865e+01       1.850e+02       3.658e-03       2.262e+00    0
       20      35       4.871e+01       1.900e+02       4.564e-03       9.304e-01    0
       20      36       4.909e+01       1.949e+02       4.389e-03       1.975e+00    0
       20      37       4.978e+01       1.997e+02       4.257e-03       1.855e+00    0
       20      38       5.077e+01       2.043e+02       4.113e-03       5.819e-01    0
       20      39       5.204e+01       2.087e+02       3.983e-03       5.919e-01    0
       20      40       5.358e+01       2.128e+02       4.323e-03       3.096e-01    0
       20      41       5.538e+01       2.167e+02       3.705e-03       3.552e-01    0
       20      42       5.745e+01       2.203e+02       4.325e-03       1.328e+00    0
       20      43       5.979e+01       2.236e+02       4.188e-03       1.372e+00    0
       20      44       6.241e+01       2.266e+02       4.320e-03       7.597e-01    0
       20      45       6.535e+01       2.294e+02       4.434e-03       9.374e-01    0
       20      46       6.864e+01       2.320e+02       4.833e-03       7.542e-01    0
       20      47       7.233e+01       2.343e+02       5.237e-03       7.473e-01    0
       21      21       7.134e+01       1.348e+02       4.954e-03       7.085e-01    0
       21      22       6.751e+01       1.370e+02       4.802e-03       6.063e-01    0
       21      23       6.407e+01       1.394e+02       4.396e-03       7.964e-01    0
       21      24       6.098e+01       1.421e+02       4.004e-03       1.446e+00    0
       21      25       5.819e+01       1.450e+02       4.129e-03       9.207e-01    0
       21      26       5.567e+01       1.482e+02       3.994e-03       1.539e+00    0
       21      27       5.340e+01       1.517e+02       4.092e-03       1.128e+00    0
       21      28       5.137e+01       1.556e+02       4.404e-03       1.237e+00    0
       21      29       4.959e+01       1.598e+02       4.492e-03       1.680e+00    0
       21      30       4.806e+01       1.643e+02       4.381e-03       2.981e+00    0
       21      31       4.681e+01       1.691e+02       4.499e-03       1.855e+00    0
       21      32       4.586e+01       1.742e+02       4.636e-03       1.444e+00    0
       21      33       4.524e+01       1.795e+02       4.843e-03       1.231e+00    0
       21      34       4.496e+01       1.849e+02       4.843e-03       1.189e+00    0
       21      35       4.503e+01       1.903e+02       4.648e-03       1.699e+00    0
       21      36       4.545e+01       1.957e+02       4.527e-03       1.434e+00    0
       21      37       4.621e+01       2.009e+02       4.639e-03       1.330e+00    0
       21      38       4.728e+01       2.059e+02       4.541e-03       2.635e-01    0
